Documento;Enunciado
2003 - pnnl.pdf;"The automated diagnostic tool detects and identifies faults in chillers and cooling tower subsystems ofHVAC units using sensed data acquired from the unit, unit specifications, unit installation andconfiguration data, and unit operation data (such as schedules). The tool is a software product that will be utilized primarily by building operators and facilities managers and only secondarily by HVAC service technicians, energy service providers, and operation supervisors. Building operators will use the tool to monitor units for which they are responsible, perhaps monitoring from a central control room within the building. Service technicians will utilize the product on site during repair and maintenance visits or off site between visits. Energy service providers, responsible for a number of customers and facilities, will use the product to monitor a number of units remotely, possibly in many different buildings, checking for inefficiencies and problems requiring dispatch of service personnel. Finally, building operator supervisors will use the tool to guide decisions on the assignment of operators and prioritization of work. The tool will provide the user with a visual indication of faults, descriptive information concerning the faults and their causes, and suggested corrective actions. The tool will store the results of diagnostics for subsequent retrieval and use. The software require ments described in this document are applicable to HVAC systems and associated
subsystems. Such subsystems can include chillers, cooling towers, and boilers. However, the initial version of the tool will focus on diagnostics for chillers and cooling towers only. The tool will automate diagnostic processes hitherto performed through a visual analysis of graphical data by a human expert. The data-preprocessing component obtains data describing the subsystem under diagnosis and reduces, filters, and otherwise prepares the data for input to the diagnostic component. This data includes sensed data, e.g., temperatures, pressures, electrical current, machine state, etc., as well as fixed data describing the characteristics of the subsystem under diagnosis, for example, specifications and design information, operating characteristics and set points, etc. The data may be processed through averaging, trending, or other statistical analysis. Sensed data can originate from data acquisition hardware either in real time or at some arbitrary time after acquisition. Fixed data will generally be compiled prior to operation of the diagnostic tool and be obtained from permanent storage when needed. The diagnostic component will detect and identify faults in the operation of HVAC subsystems based on sensed and fixed data input from the data-preprocessing component. The output component will display and record results output from the diagnostic component. The results of the diagnostics will be displayed to the user in a simple, graphical and textual format. The results will also be stored to permanent storage for subsequent retrieval and analysis."
2007 - eirene fun 7.pdf;"An EIRENE network is a railway telecommunications network, based on the ETSI GSM standard, which complies with all related mandatory requirements specified in the EIRENE FRS and SRS. An EIRENE network may also include optional features and these shall then be implemented as specified in the EIRENE FRS and SRS. The EIRENE network excludes terminals. To meet the functionality and performance requirements of EIRENE, the following system services are required: voice services:
− voice services, such as point-to-point calls public emergency calls...
− data services, such as text message bearer service, bearer service for general data applications...
− call related services, such as auto answer system, call supervisory indications, charging information...railway specific applications:
− railway specific applications: support for functional addressing by train, engine or coach number or functional number,  call specific persons depending upon user location... 
− direct mode facility for local set-to-set operation without network infrastructure;
− railway specific features: set-up of urgent or frequent calls through single keystroke or similar; display of functional identity of calling/called party...
Three distinct mobile radio types are required, based on the type of role they will perform and the environment in which they will operate, as follows: (I)
a) Cab radio – for use by the driver of a train and/or by other on-train systems, eg ERTMS/ETCS;
b) General purpose radio – for general use by railway personnel;
c) Operational radio – for use by railway personnel involved in train operations such as shunting and trackside maintenance."
2004 - rlcs.pdf;RLCS means Reversible Lanes Control System. The RLCS Application will allow an operator to view system status and issue commands to change device status as well as configure the system and generate reports. The five major functions of the RLCS application software are a Graphical User Interface (GUI), Process Control and Monitoring, Sequencing, Data Processing and Security, and Reporting. The user will operate the RLCS Application software using a graphical user interface, RLCS application will seamlessly interface and control hardware devices. The RLCS will provide access to system status data, to external systems through a firewall. This will be a one way data transfer to a computer outside of the RLCS network and making it available there for public use. The transfer will occur every 30 seconds. A one way serial data transfer will also be provided. RLCS workstations and controllers will reside on a private network to communicate field device information. 
2007 - water use.pdf;"The vision of the Water Use Tracking (WUT) System, as captured during the Executive Stakeholders Workshop, defines the system as: “A GIS-based system that allows District employees and external customers to spatially and temporally track and analyze key Regulatory and Resource Management data.” This system will support Southwest Florida Water Management District’s (SWFWMD) activities defined in the Southern Water Use Caution Area (SWUCA) Management Plan and to validate and assess the results of the SWUCA II Rules. Although this system is being built to support the efforts within the SWUCA, it will support the same functionality for anywhere within the District. Rules are in the process of being implemented in support of the SWUCA Recovery Strategy that has no current, automated way of being validated or assessed in their fulfillment of the needs of the plan. One problem is no formal or consistent system exists at the District (manual or automated) to comprehensively track and analyze geographic and temporal trends in permitted and actual water uses within the SWUCA. Currently, tracking of spatial and temporal trends in permitted and actual water uses is done using manual and semi-automated methodologies by a number of groups in the District.
Examples of current work include monthly summary reports of permitted pumpage developed by the Technical Services Department, annual water use estimates developed by the Conservation Projects Department, and ad hoc maps of permitted pumpage developed by the Mapping and GIS Section (MGIS). This approach is staff time intensive, and since data sources and methodologies vary between different groups conducting these analyses, it may lead to inconsistent or apparently conflicting results. This is further complicated by the fact that current database management systems and data collection activities were not specifically designed to support these types of activities. The result is that the current system does not adequately support the types of analyses required for successful implementation of the SWUCA Management Plan. The WUT Project will provide software for several different customer types. The system will assist in the WUP review process. The system will be used to track and analyze long-term trends in permitted and actual water use and to assist in identifying underlying causes for these trends (land use change, socio-economic conditions, environmental factors, etc.). The system will provide tools to assist in the quality control/quality assurance of WUP data. – The system will provide information that can be used to assist in the calibration of ground water models. The system will also provide information on WUPs that can support the establishment and monitoring of Minimum Flows and Levels (MFL). In addition, the system will provide information that assists in the development of estimated water use.  The system will provide tools to assist in studies analyzing impacts of changing demographics and economic conditions on water use within the SWUCA. The system will provide standard reports that are published as hardcopy or web-accessible documents. Web accessible maps and documents could be interactive, allow users to zoom, pan, and query areas of interest. "
2003 - agentmom.pdf;"*agentMom project will be a framework that provides reusability of agent’s communication. It is implemented in Java and provides the basic building blocks for building agents, conversations between agents, and the message that are passed in the conversations. The system will:
- Enable agents to broadcast a message to all the agents within the same local network.
- Enable agents to multicast a message to all the agents within the same multicast address.
- Enable agents to unicast a message to other agents within organization.
- Allow agents to choose among unicast, multicast and broadcast communication.
- Allow agents to join and leave multicast group.
- Provide message encryption and decryption techniques for secured communication.
- Allow agents to choose to encrypt or not to encrypt message"
2010 - digital home 1.3.pdf;The Digital Home (DH) system, for the purposes of this document, is a system that will allow a home user to manage devices that control the environment of a home. The user communicates through a personal web page on the DigitalHome web server or on a local home server. The DH web server communicates, through a home wireless gateway device, with the sensor and controller devices in the home. The product is based on the Digital Home High Level Requirements Definition [HLRD 2010] is intended as a prototype, which will allow business decisions to be made about future development of a commercial product. The scope of the project will be limited to the management of devices which control temperature, humidity, security, and power to small appliances and lighting units, through the use of a web-ready device.  The Digital Home components consist of household devices (e.g., a heating and air conditioning unit, a security system, and small appliances and lighting units, etc.), sensors and controllers for the devices, communication links between the components, and a computer system, which will manage the components. 
2005 - microcare.pdf;"Design a voucher Management system. The voucher management system VMS is designed to atomize the process of Voucher Management Unit (VMU) to minimize the manual process to maximize the quality of the project to understand the progress and timely out come of the project to take necessary steps by the MSIU Admin team to plan for the future and to increase the quality of the STD voucher service. The system will also control the existence of fraud in claims and will help the service provider to reach their payments in time without delay. The other features and details of system will be explained in below sections in the document.

The voucher management system is subdivided into following modules to make the system easy for understanding, developing, testing and to implement.
1. Voucher Creation / Preparation 2. Marketing / Sales 3. Claim Entry / Processing 4. Voucher Sales Return 5. Client Feed back 6. Reports (Standard and Customized) 7. Security and User Privileges.

• The VMU will create the vouchers and sell it to clients through distributors.
• The distributor will submit the sales details back to the VMU.
• Each voucher should have two portions with three tear off voucher slips each for Client and Partner.
• The client and/or the partner will choose the service provider and will get treatment.
 • First visit is called as Consultation and if the patient is not cured then they can go for first follow up and second follow up,
• If the patient is not cured then the doctor will refer the patient to some other Hospitals the hospital may be another VSP or any other.
• Each visit details (including Diagnosis, Lab Test and Drugs) of the patient is called a claim,
• The VSP will submit the claim to VMIU field office to enter those into the database, 
• The filed office will validate the claim form manually and through system,
• If any of mandatory information is missed or any false information is existing then the field office will reject the claim back to VSP and the system will keep those claim in a quarantine area.
• The quarantined forms will be sent back to the VSP for verification, if the VSP returns the claim with satisfactory details, the claims will be entered on to the system, in the following month’s batch.
• Based on the payment terms agreed by VSP, the field office will generate BiMonth or Monthly financial and medical report and send it to MSIU Admin team to arrange the payments for the VSP.
• To understand the satisfaction of client the MSIU Admin team will get client feedback from some of the clients and send those documents to field office to enter those into database."
2010 - split merge.pdf;"PDF Split and Merge is a FOSS tool that can split, merge and manipulate PDF documents. It provides a graphical Interface (GUI) and a shell Interface (Console). It is available in two versions, basic and enhanced, both are open source. The GUI provides the user with all the functionality needed to handle a PDF file (or more files together). The functionalities are distributed in plugins. Each plugin performs a specific function and loads in the main GUI. In the basic version, the GUI contains six plugins:
− Alternate Mix
− Merge/Extract
− Rotate
− Split
− Visual document composer
− Visual reorder
The Console is a command-line application. It’s the core application and it provides both the
enhanced and the basic features for pdf manipulation."
2007 - e-store.pdf;The system is an e-store which permits to configure and sell products. The store provides comprehensive product details, product Categorizations, Search facility, customer profile with personalization options, customer support, shopping cart facility, mulitple shipping methods, Online tracking of shipments, Tax Calculations, multiple payment methods and detailed sitemap. It also allows online change or cancellation of order, Online Product reviews and ratings, e-mail confirmation and it offers online promotions, rewards and financing options.
2003 - tachonet.pdf;The tachograph is the device that records driving times and rest periods as well as periods of other work and availability taken by the driver of a heavy vehicle. For the proper implementation of the regulations concerning the tachograph, it is essential that every driver holds only one valid driver card. Therefore, Member States must ensure the uniqueness of the driver card they issue by exchanging information with the other Member States. The TACHOnet is a telematic network in operation across the EU to allow an automated exchange of information between Member States. TACHOnet aims for centralized monitoring of professional drivers.
2010 - mashboot.pdf;"Mashbot is a web service for managing a company’s presence on social networks. One goal of Mashbot is to unify the interfaces of a multitude of social networks, allowing users to learn a standardized interface and more easily cope with the flood of new social network platforms. The initial focus will be on scheduled marketing campaigns utilizing social media. However, this may expand to include customer service functionality, management of more traditional campaigns such as direct mail,
trade shows and other events, or user-created campaign classes. The first objective is to develop and release a small open source platform to provide a service agnostic facade API bundling common operations in widely used services (e.g., Facebook, Flickr, Twitter, Wordpress, or YouTube). This platform will provide a plugin-based architecture for abstracting myriad services behind a single facade, based upon content types provided in common data models. Mashbot combines several components to provide required functionality: 
• Authentication Mashbot will allow the use of external authentication modules for user login. Mashbot
will also provide an internal authentication mechanism in case an external module is unavailable.
• Campaign Manager Web Client Mashbot has an interface for a web client which processes user
commands to interact with campaigns.
• Publishing and Aggregation Platform Mashbot has an interface for publishing content to social
networks, as well as for aggregating social network data.
• Database Mashbot has an interface to a database which allows for the storage and retrieval of data
related to accounts and campaigns
Mashbot should be able to:
1. Schedule content for various services to be published concurrently
2. View and Compare historical metrics of campaigns
3. View/Create replies to content
4. Maintain users and approvers of content
5. Set up keyword alerts for “watched” services"
2004 - sprat.pdf;"Based on the utility of goals and scenarios, there is a need to develop a tool, which will assist analysts in the scenario and goal mining, reconciliation and management processes. The tool aims to maintain a goal and scenario repository for use in continuing analyses of policies and other documents from which goals and scenarios can be derived. All goals are fully traceable to the policies in which they are stated and are distinguished as either policy goals (strategic goals) or scenario goals (tactical goals) in each policy. This tool will provide strong management, which will offer flexible user defined conditions (like ID, keywords, taxonomy, subject, actor, and occurrences). The tool will also support automatic multi-user analysis results comparison. For example, each analyst can classify goals separately and the tool can automatically check the differences in their classification results for their resolution. The SPRAT will be comprised of 8 main modules:
- User Access Module – This module manages access levels and permissions for each class of user. The included access levels are: Administrator, Project Manager, Analysts, Guest
- Goal Specification and Management Module -This module supports goal management in the tool.
- Policy Management Module- This module supports policy management in the tool.
- Flesch Readability Index Module- This module supports requirements that calculate the Flesch Readability Index of policy documents.
- Scenario Specification and Management Module - This module supports scenario management in the tool.
- Requirements Specification Module- This module supports the requirements for a system.
- Legal Compliance
- Requirements-level Access Control Analysis Framework (RACAF) module- This section defines the functional requirements that support RACAF"
2009 - peazip.pdf;The tool's name is Peazip. The basic functions  that Peazip features are the: Creating compressed archives, updating compressed archives, extracting content of compressed archives, file and archive management tools(robust copy, split and join, fast or secure deletion, byte to byte comparison, calculation of a wide set of checksums and hashes over selected files), append timestamp to archive name(useful for archiving and backup purpose) and two factor authentication(password and keyfile) for the managed archives. All pre-mentioned functions’ parameters can be modified and adapted to user’s needs and preferences from a settings’ menu. 
2004 - phillips.doc;The MSN messenger xlet is a MHP version of the popular PC application. It is an application to demonstrate the possibilities of MHP and Platform-i. The Platform-i MSN messenger application is independent of other projects. The produced product will be an MHP MSN messenger xlet where there are only end-users. With the xlet the user shall be able to see online friends, chat with them and see which TV program they are watching. Unlike the PC variant, the xlet cannot transfer files and doesn’t have webcam support
2005 - nenios.html;The Child Care Management software is intended to provide a computer based system that will assist in managing a child care center. Many of the typical functions involved in operating a center will be automated through software to improve the operational workflow within a facility. For instance, activities like tracking child immunizations and maintaining classroom waiting lists will be performed by the computer system so that employees can spend more time caring for the children. In addition, tasks like processing invoices and printing customer reports will be available within the program to minimize the time that administrative staff must spend creating these documents. Before gaining access to the NCCM system an employee will be required to enter their user name and password. The NCCM system will store information in a database for future reference, teachers will have the ability to add or edit comments.Administrators can access a reporting feature that generates preformatted documents summarizing key customer information. In addition to printing these reports administrators are able to print invoices. Invoices will include a special notice if a child is due for a required immunization. Customers will be billed on the last day of every month with a discount applied to those accounts having multiple children enrolled in the Care Center. Daily reminders are a feature that all employees have access to. An employee can enter the date of an event as well as a message describing the event. On the day of the reminder a pop up message will be displayed when the employee logs onto the system. Acknowledgement of the reminder will permanently remove it from the database. Administrators are responsible for registering new customers.
2009 - warc III.pdf;The main goal of the WARC Tools project is to facilitate and promote the adoption of the WARC file format for storing web archives by the mainstream web development community by providing an open source software library, a set of command line tools, web server plug-ins and technical documentation for manipulation and management of web archive files or WARC files. This project has delivered a core software library called “libwarc” and a set of end user command line tools, extensions to existing tools, and simple web applications for accessing WARC content. In addition all the libraries have APIs and dynamic language bindings. The library and tools are scriptable (command lines in shell scripts, dynamic language bindings to the library), and programmable (dynamic language bindings, Java packages, and the C library itself). The last phase will build upon the original libwarc, extending the collection of WARC Tools and implement a full migration application. Phase III will include community participation in the speci!cation of the tools and applications, these will come from a number of International Internet Preservation Consortium (IIPC) member institutions, and similarly for testing. Phase III implementation will follow the original philosophy of providing powerful tools to enable crawl engineers, web archivists, researchers and other WARC users to easily manipulate and explore collections of web archive content without needing to write complex low-level code. 
2001 - esa.pdf;The ASPERA-3 instrument package (or ASPERA-3 experiment) will be flown on the Mars Express mission of the European Space Agency (ESA) and will be launched in June 2003 according to the current schedule. ASPERA-3 contains a number of different sensors that will measure the particles, neutral atoms, and fields in the near Martian environment. Southwest Research Institute is providing the data system to produce data products in a form suitable for analysis and archiving. These data products will be put into a form known as the Instrument Data File Set (IDFS). The ASPERA-3 Processing and Archiving Facility (APAF) is a ground data system responsible for processing all of the ASPERA-3 telemetry. The APAF data system acquires the telemetry data via NISN, processes the data into IDFS data sets, distributes the IDFS data sets to the ASPERA-3 team, provides web-based displays of the most current data for public view, stores the telemetry and IDFS data sets on a local SwRI archive, and submits the ASPERA-3 IDFS data sets to PDS for long-term archival. The first step in defining the IDFS data sets is to identify the physical instruments that make up the ASPERA-3 experiment and any ancillary data necessary for scientific analysis. There are six components of the ASPERA-3 package, plus the orbit and attitude data from the spacecraft: 1. Data Processing Unit (DPU) 2. Electron Spectrometer (ELS) 3. Ion Mass Analyzer (IMA) 4. Neutral Particle Detector (NPD) 5. Neutral Particle Imager (NPI) 6. Scanning Unit (SU) 7. Orbit/Attitude (OA) Each of the physical components will be divided into logical groups (called virtual instruments) in which each logical group will be formatted as an IDFS data set. Each of the seven components described above will have an associated Software Design Document (SDD) that will define and fully describe all of the data products contained within each individual virtual instrument.
2009 - model manager.pdf;"The Model Manager is a software tool that will allow the user to configure, schedule, run, monitor, and stop (and re-start /resume) model jobs. The primary goal of this project is to extend the current model back end system and to automate the setup, running and monitoring of model jobs. This will include a more automated node management system. The main functions of the system are:
1. Users of the system will be able to set up a new model or “postprocessing” job
2. Users of the system will be able to submit a 'by-hand' job or a job defined by a configuration file
3. Users of the system will be able to retrieve a previously saved job configuration
4. Users of the system will be able to change and save a job configuration
5. Users of the system will be able to start/restart/resume/stop a job
5. Users of the system will be able to monitor running jobs"
2004 - colorcast.pdf;"The product is a stand-alone web application with a theme mechanism to allow easy integration of the application into the ABC Paint website. The ColorKast solution is a server based application with a web-based client for consumer and enterprise access. In some respects, the application is the next generation of the old mechanical, hand-select, palette board system located in paint stores everywhere. Primarily, the application will include a old to new product-line “translator,” a graphical color chooser, a color search-engine, a user color palette, possibly, an easy to use color matching system, and an administrative interface. All of these will be defined and described later in this same document. The actual user interface will be described in a separate user interface specification whitepaper. All references to performance or specification apply to the application client. Specifications and performance estimates apply to the application server only if explicitly stated.
Functions are modularized sub-components of the client application. Each of the functions has a single purpose and can accomplish its mission without the other components. Together, the components function as a stand-alone application.
• Color Chooser (Pointing device driven color selection utility)
• Color number translator (old scheme -> new scheme)
• Find a particular number of colors near a given color
• Session persistent user color palette (colors picked, images uploaded)
• Color search engine (all collections, specific collection)
• Color matching (uploaded image)
• Administrative interface (update, add, delete colors, add users)"
2008 - caiso.pdf;Following the complete or major loss of system generation (blackout), it will be necessary to establish initial generation that can supply a source of electric power to other system generation and begin system restoration. These initiating generators are referred to as system Black Start generators. They must be able to self-start without any source of off-site electric power and maintain adequate voltage and frequency while energizing isolated transmission facilities and auxiliary loads of other generators. Generators that can safely reject load down to their auxiliary load are another form of Black Start generator that can aid system restoration, but are not addressed with this Black Start Capability Plan (BCP). From a planning perspective, a system Black Start Capability Plan (BCP) is necessary to ensure that the quantity and location of system Black Start generators are sufficient and that they can perform their expected functions as specified in overall coordinated WECC BCP. The CAISO may from time to time test Unit(s) designated to provide Black Start service (through an RMR or Interim Black Start Contract) by requiring the Unit to deliver Black Start service pursuant to a Test Dispatch Notice provided to Owner’s Scheduling Coordinator. The Black Start Test shall be performed in accordance with the Ancillary Services Requirements Protocol in the CAISO Tariff. The CAISO shall not request a Black Start Test for a hydroelectric Unit during periods of constrained water availability.
2004 - ijis.doc;The Integrated Justice Information System (IJIS) is an initiative being undertaken by Tarrant County, Texas. The vision for IJIS is to define and develop enhanced business processes and supporting technology solutions that result in a more effective and efficient administration of justice in Tarrant County. When complete, IJIS will facilitate rapid sharing of information across the Criminal Justice Community while providing each stakeholder with advanced justice management capabilities. The system must submit requests for appointed counsel, process requests for appointed counsel, manage notifications, manage reporting, manage notice of case filing decisions, manage defendant contact, manage attorney list and manage defense attorney compensation
2009 - video search.pdf;"The system will be a search engine for finding the location of torrents and streaming sites for videos on the internet. The user can specify which of the 2 or both to look for. The results will be divided into the types that were specified using different tabs, and then the results will be orderable by different categories, such as name, size, site, etc. The user will have the option to filter out videos containing certain content depending on age restrictions, for example adult content. In addition the user will have the option to filter out or only search certain websites; for example a user may only want to look at videos on YouTube. They will have the facility for users to store their favorite videos, so that they can come back to the video at another time. There will be two levels of user for our system. The first will be the general user that will be using our software to find their videos. They will only see the front end of the system. The second level will be the system developers. They will be able to edit which sites the system will search, depending on whether they think the site is safe, compatible with our software, the speed at which the site can be searched, and how useful the site is to us, i.e. how many results have come back from that site. "
