Num;Referencia;Requisito;Documento;NFR
63;INT-63;The View/SDT menu item shall provide an interface for viewing, navigating through, and searching SDTs output from the execution of transformation programs;2001 - hats.pdf;Funcional
64;INT-64;The View/Text menu item shall provide an interface for viewing and searching pretty-printed text.;2001 - hats.pdf;Funcional
65;INT-65;The View/Standard Output menu item shall provide an interface for viewing debugging information collected from HATS-SML;2001 - hats.pdf;Funcional
66;INT-66;The View/Select Text menu item shall provide an interface for selecting pretty-printed text or text strings associated with SDT displays.;2001 - hats.pdf;Funcional
67;INT-67;The View/Copy Text menu item shall provide an interface for copying selected text into an operating system buffer;2001 - hats.pdf;Funcional
68;INT-68;The GUI shall allow the user to create, modify, copy, or delete applications or files regardless of the current status of HATS-SML;2001 - hats.pdf;Funcional
69;INT-69;If the HATS-GUI attempts to start a HATS-SML program and fails, the HATS-GUI shall notify the user by displaying a message.;2001 - hats.pdf;Funcional
70;INT-70;The HATS-GUI shall be able to communicate with Sun Solaris, Linux, and Windows 2000;2001 - hats.pdf;No funcional
71;INT-71;Data sets shall be saved as files using file names with the appropriate extensions;2001 - hats.pdf;Funcional
72;INT-72;The user shall be able to initiate processes from an interface provided by the HATS-GUI. The HATS-GUI shall optionally pass command line arguments to the process. Command sequences for initiating processes are part of the application configuration;2001 - hats.pdf;Funcional
73;INT-73;The HATS-GUI shall interact with the HOST OS file services to perform the following tasks: create new files, delete existing files, open an existing file for read and/or write, read from an open file, write to an open file, close an open file.;2001 - hats.pdf;Funcional
74;INT-74;The HATS-GUI shall interact with the HOST OS to compare time stamps for files. Time stamps indicate the date and time of the most recent update to a file. These time stamps must be reported with a precision of one second or less.;2001 - hats.pdf;Funcional
75;INT-75;The HATS-GUI shall allow a user to create an application minimally consisting of a lexical specification file, a grammar file, a user-defined functions file, and application configuration information. The user shall be able to name this application.;2001 - hats.pdf;Funcional
76;INT-76;All files associated with a given application shall be stored in one directory;2001 - hats.pdf;Funcional
77;INT-77;The directory in which application files are stored shall be named with the application name.;2001 - hats.pdf;Funcional
78;INT-78;There shall be exactly one file describing the lexical specification of inputs associated with an application. It shall have the file extension .spec.;2001 - hats.pdf;Funcional
79;INT-79;There shall be exactly one file describing the grammar of inputs associated with an application. It shall have the file extension .grm.;2001 - hats.pdf;Funcional
80;INT-80;There shall be exactly one file describing the interpretation of function symbols associated with an application. This file shall be written in ML and have the file extension .lib.;2001 - hats.pdf;Funcional
81;INT-81;The HATS-GUI shall suggest a file name for the user whenever it prompts the user to enter a file name. The HATS-GUI shall suggest the same file name for files copied to a different directory. The HATS-GUI shall suggest a file name with a sequentially numbered extension for files copied to the same directory.;2001 - hats.pdf;Funcional
82;INT-82;The HATS-GUI shall display output written to the standard output and standard error streams in a tab-selectable window. Text in this window shall be cleared prior to executing individual HATSSML programs, unless the programs are contained in a program script. In the case of a script, the window contents shall be cleared prior to executing the script.;2001 - hats.pdf;Funcional
83;INT-83;The system shall open a new window when the user selects to display output.;2001 - hats.pdf;Funcional
84;INT-84;Display windows opened by the system shall have buttons for closing the windows;2001 - hats.pdf;Funcional
85;INT-85;Each active display window shall have a mouse cursor, which indicates the location of the pointing device in the window;2001 - hats.pdf;Funcional
86;INT-86;Each display window shall have a keyboard cursor to track the current location in the display;2001 - hats.pdf;Funcional
87;INT-87;The keyboard cursor shall be movable by the arrow keys.;2001 - hats.pdf;Funcional
88;INT-88;The keyboard cursor shall be set to the location of the mouse cursor when the pointing device is clicked;2001 - hats.pdf;Funcional
89;INT-89;When a user selects the File/Select menu item, the HATS-GUI shall provide the user with a list of files in the currently open application and allow the user to select a file. This file becomes the currently selected file. If no application is currently open, the HATS-GUI will prompt the user to select and open an application, then prompt the user to select a file.;2001 - hats.pdf;Funcional
90;INT-90;When a user selects the File/Save As menu item, the HATS-GUI shall prompt the user to enter a new name. A new file shall be created in the currently open application with the newly entered file name. The contents of the selected file shall be written into the new file, and the new file shall become the currently selected file.;2001 - hats.pdf;Funcional
91;INT-91;When a user selects the File/Delete menu item, the HATS-GUI shall prompt the user to confirm the deletion operation. If the user confirms, the currently selected file shall be deleted. No file shall be currently selected at the end of this operation;2001 - hats.pdf;Funcional
92;INT-92;When a user selects the File/Edit menu item, the HATS-GUI shall request that the operating system start a process and load that process with the editor specified by the application configuration. The name of a selected file shall be passed to the editor as a command line argument. The editor started by the HATS-GUI shall be the editor associated with the file in the application configuration, or if there is no editor associated with the file, then the editor associated with the file type of the file in the application configuration;2001 - hats.pdf;Funcional
93;INT-93;When a user selects the File/Exit menu option, the HATS-GUI shall request the host operating system to kill all currently active HATS-SML processes started by the HATS-GUI and halt the HATS-GUI process. If changes have been made to the configuration but have not been saved, the user shall be prompted to save the configuration. If the user agrees, the configuration shall be saved. If the user does not agree, the configuration shall not be saved.;2001 - hats.pdf;Funcional
94;INT-94;When a user selects the Application/Select menu item, the HATS-GUI shall display a list of directory names in the current working directory, allow a user to navigate the directory structure, and allow a user to select a previously created application. This application becomes the currently selected application.;2001 - hats.pdf;Funcional
95;INT-95;When a user selects the Application/Close menu item, the HATS-GUI shall close the currently selected application. No application is currently selected at the end of this operation. If changes have been made to the configuration but have not been saved, the user shall be prompted to save the configuration. If the user agrees, the configuration shall be saved. If the user does not agree, the configuration shall not be saved.;2001 - hats.pdf;Funcional
96;INT-96;When a user selects the Application/Save menu item, the HATS-GUI shall save all application configuration information to nonvolatile storage;2001 - hats.pdf;Funcional
97;INT-97;When a user selects the Application/Delete menu item, the HATS-GUI shall prompt the user to confirm the deletion operation. If the user confirms, all files in the application directory shall be deleted and the application directory itself shall be deleted. No application is currently selected at the end of this operation.;2001 - hats.pdf;Funcional
98;INT-98;When a user selects the Application/Save As menu item, the HATS-GUI shall prompt the user for a new application name. The HATS-GUI shall create a new directory at the same level as the currently selected application. All files in the application directory, including all subdirectories, shall be copied to the new directory, and the new directory shall become the currently selected application.;2001 - hats.pdf;Funcional
99;INT-99;When deleting an application directory, if the application directory contains a subdirectory, the system shall confirm the deletion of the subdirectory with the user before continuing. If the user does not confirm the deletion of the subdirectory, the application director shall not be deleted;2001 - hats.pdf;Funcional
100;INT-100;When a user selects the Configure menu options, the HATS-GUI shall provide a list of elements in the application configuration, allow the user to select an element, then prompt the user for a value for the configuration element;2001 - hats.pdf;Funcional
101;INT-101;When a user selects the View/SDT menu option, the HATS-GUI shall prompt the user to select an SDT file in the current application.;2001 - hats.pdf;Funcional
102;INT-102;When a user selects the View/Text menu option, the HATS-GUI shall prompt a user to select a pretty-printed text file in the current application;2001 - hats.pdf;Funcional
103;INT-103;When a user selects the View/Standard Error menu option, the HATS-GUI shall display the standard error screen showing all outputs written to the standard error stream since the most recent clearing of this data;2001 - hats.pdf;Funcional
104;INT-104;When a user selects the View/Standard Output menu option, the HATS-GUI shall display the standard error screen showing all outputs written to the standard output stream since the most recent clearing of this data.;2001 - hats.pdf;Funcional
105;INT-105;When viewing an SDT, a single left mouse click on an expandable displayed node shall expand the node by displaying the node’s children or collapse the node by hiding the node’s children.;2001 - hats.pdf;Funcional
106;INT-106;When a displayed node is expanded, the number of levels of children added to the displayed graph shall be determined by the application configuration.;2001 - hats.pdf;Funcional
107;INT-107;When viewing an SDT, a single left mouse click on an already-expanded displayed node shall collapse the displayed node. When a displayed node is collapsed, all descendants of the node are removed from the displayed graph.;2001 - hats.pdf;Funcional
108;INT-108;The HATS-GUI shall collect process exit codes from HATS-SML processes. Process exit codes of 0 indicate nominal completion of the process. Process exit codes other than 0 indicate failure.;2001 - hats.pdf;Funcional
109;INT-109;The GUI shall allow the user to import a file into the selected application. Importing a file consists of copying the file into the application directory.;2001 - hats.pdf;Funcional
110;INT-110;The HATS-GUI shall allow the user to continue working while transformations are taking place. Thus a user shall be able to edit files, view output, and transmit other problems to HATS-SML while waiting for HATS-SML to generate output;2001 - hats.pdf;Funcional
111;INT-111;The HATS-GUI shall allow the user to execute a script file. A script file shall contain a linear sequence of HATS-SML programs. The HATS-GUI shall begin with the first command and execute the commands sequentially until either an error occurs or all commands in the script file have been executed;2001 - hats.pdf;Funcional
112;INT-112;Prior to starting the execution of a script file, the display screens for the standard error and the standard output shall be cleared.;2001 - hats.pdf;Funcional
113;INT-113;The HATS-GUI shall allow a user to select output files in the application to display;2001 - hats.pdf;Funcional
114;INT-114;The HATS-GUI shall allow a user to display selected output files. The manner in which the output is displayed shall depend on the type of the output;2001 - hats.pdf;Funcional
115;INT-115;The user shall be able to select an arbitrary set of displayed nodes in a displayed graph. Selected displayed nodes shall be indicated visually.;2001 - hats.pdf;Funcional
116;INT-116;The user shall be able to deselect all selected displayed nodes;2001 - hats.pdf;Funcional
117;INT-117;When viewing an SDT, selecting nodes shall result in the highlight of all displayed nodes in the smallest well-formed tree of the selected nodes;2001 - hats.pdf;Funcional
118;INT-118;When the system displays a navigation window, the user shall be able to select a current SDT location by clicking the mouse cursor in the navigation window. The center of the displayed graph will be the displayed node closest to the mouse cursor when the mouse is clicked;2001 - hats.pdf;Funcional
119;INT-119;When both an SDT and a pretty-printed text display corresponding to a single transformed target file are open, highlighting and cursor location motion shall be mirrored in the two windows. Thus, when a displayed node is selected in the SDT display, the corresponding text in the prettyprint window is highlighted. When the user scrolls to the end of the pretty-printed text display, the display of the SDT should also scroll to the corresponding displayed nodes.;2001 - hats.pdf;Funcional
120;INT-120;The user shall be able to resize windows dynamically. When displayed graph windows are resized, the HATS-GUI shall respond by utilizing the space available.;2001 - hats.pdf;Funcional
121;INT-121;The display of an SDT shall also result in the display of text from leaf nodes in a text display area;2001 - hats.pdf;Funcional
122;INT-122;The HATS-GUI shall provide for the copying of text from the text display area to a system buffer available for pasting into other applications (such as an editor).;2001 - hats.pdf;Funcional
123;INT-123;The user shall be able to display more than one SDT at a time. Each SDT shall be displayed in a separate window.;2001 - hats.pdf;Funcional
124;INT-124;The HATS-GUI shall provide for the manipulation and display of SDTs.;2001 - hats.pdf;Funcional
125;INT-125;SDTs shall be displayed as directed acyclic graphs with nodes and edges. Nodes in the displayed graph correspond to nodes in the SDT. Edges in the displayed graph correspond to the parentchild relationship between nodes in the SDT.;2001 - hats.pdf;Funcional
126;INT-126;Initially, a displayed graph will have a single displayed node. That node will correspond to the root of the SDT.;2001 - hats.pdf;Funcional
127;INT-127;When a displayed node and its children are displayed simultaneously, the parent node shall be displayed higher than the children.;2001 - hats.pdf;Funcional
128;INT-128;All displayed children of a single node shall appear at the same height;2001 - hats.pdf;Funcional
129;INT-129;The user shall be able to control the display by choosing the color and shapes of displayed nodes based on node type. The HATS-GUI shall use the shape and color of displayed node types stored in the application configuration to display nodes;2001 - hats.pdf;Funcional
130;INT-130;The user shall be able to expand displayed nodes (provided it is possible to expand the selected nodes). The HATS-GUI shall change the graph display by adding the descendant nodes to the displayed graph (thus changing the expandable nodes to internal nodes);2001 - hats.pdf;Funcional
131;INT-131;The user shall be able to collapse displayed nodes. The HATS-GUI shall change the displayed graph by removing all descendants of the selected displayed nodes (thus changing the internal nodes to non-expandable leaf nodes).;2001 - hats.pdf;Funcional
132;INT-132;The user shall be able to hide a set of selected displayed nodes. The HATS-GUI shall change the display by removing the selected nodes from the display and changing the parent and descendant nodes of the removed nodes to nodes with hidden descendants and parents, respectively.;2001 - hats.pdf;Funcional
133;INT-133;The user shall be able to issue an unhide instruction that reverses the hide instruction for all displayed nodes.;2001 - hats.pdf;Funcional
134;INT-134;After issuing the unhide instruction, a user shall be able to issue a rehide instruction that reverses the unhide instruction. All displayed nodes hidden before the most recent unhide instruction shall become hidden.;2001 - hats.pdf;Funcional
135;INT-135;The HATS-GUI shall allow the user to expand the SDT by a predetermined number of node levels. The number of levels expanded is set in the application configuration.;2001 - hats.pdf;Funcional
136;INT-136;The HATS-GUI shall provide the function to fully expand a sub-tree regardless of the node expansion level in the application configuration;2001 - hats.pdf;Funcional
137;INT-137;The user shall be able to view multiple SDTs simultaneously.;2001 - hats.pdf;Funcional
138;INT-138;SDT displays shall also provide the user with a view of text associated with the leaves of the displayed sub-tree. This text shall be copy-and-pasteable in the host operating system. Thus, text displayed in a HATS-GUI window can be pasted into other applications such as text editors that may be running concurrently with the HATS-GUI.;2001 - hats.pdf;Funcional
139;INT-139;SDT displays shall provide the user with the option to refresh the display. When a display is refreshed, the current display is erased, the SDT file is read, and a new SDT display is generated. The new SDT display shall approximate the previous SDT display by expanding the SDT to the same number of nodes, if this is possible.;2001 - hats.pdf;Funcional
140;INT-140;If a displayed graph or a text display is too large to fit inside its window, the windows shall have scroll bars attached to them. Dragging scrollbar buttons shall scroll the display. Pressing the arrow keys of the keyboard shall also scroll the display.;2001 - hats.pdf;Funcional
141;INT-141;For displayed graph windows, the keyboard cursor location shall move according the following rules: • A left arrow key moves the cursor to the next unhidden node to the left. The node to the left does not need to be a sibling of the current node, but it does need to be at the same level as the current node. If there are no nodes to the left, the cursor does not move. • A right arrow key moves the cursor to the next unhidden node to the right. The node to the right does not need to be a sibling of the current node, but it does need to be at the same level as the current node. If there are no nodes to the right, the cursor does not move. • An up arrow key moves the cursor to the closest ancestor that is not hidden. If there is no such node, the cursor does not move. • An down arrow key moves the cursor to the leftmost, nearest descendant that is not hidden. If there is no such node, the cursor does not move.;2001 - hats.pdf;Funcional
142;INT-142;The pointing-device cursor shall track the motion of the pointing device. The keyboard cursor shall move to the text element or graph node closest to the pointing-device cursor when the pointing device is clicked.;2001 - hats.pdf;Funcional
143;INT-143;If keyboard cursor movement causes the keyboard cursor to move to text or graph nodes not currently displayed, the display will scroll the minimal amount to display the current cursor location.;2001 - hats.pdf;Funcional
144;INT-144;If the displayed graph of the entire SDT is too large for the window, a separate, small window with a compressed view of the SDT shall be displayed. The compressed view is called the navigation window display. In this navigation window, a representation of the entire SDT will be drawn. A small box will be displayed showing the part of the SDT currently displayed in the main tree display window.;2001 - hats.pdf;Funcional
145;INT-145;The user shall be able to turn the navigation window on and off.;2001 - hats.pdf;Funcional
146;INT-146;The HATS-GUI shall provide the user the capability to search SDTs. The HATS-GUI shall search the SDT for a matching pattern. When a match is found, the HATS-GUI shall highlight the matching displayed nodes and center the display on the left-most, top-level displayed node in the matching pattern. The keyboard cursor is set to this node. If no matches are found, the HATS-GUI shall display a message stating “No Match Found.”;2001 - hats.pdf;Funcional
147;INT-147;To initiate an SDT search, the user shall be able to use the following sequence of actions. • The user selects a set of nodes using the mouse cursor. • The user presses the Ctrl-Insert key combination. • The user selects the tree search option. • The HATS-GUI presents a prompt for entering the search pattern. • The user presses the Ctrl-Shift-Insert key combination. • The HATS-GUI fills the search pattern entry box with text concatenated from the nodes highlighted at the time of the Ctrl-Insert key press. • The user selects initiation of search.;2001 - hats.pdf;Funcional
148;INT-148;When searching for SDT patterns, search begins at the SDT node corresponding to the node at the current keyboard cursor location. This becomes the original starting location. Search continues top-to-bottom, left-to-right until the end of the SDT is encountered. When the end of the SDT is encountered, search will continue from the root of the SDT until arriving back at the starting location.;2001 - hats.pdf;Funcional
149;INT-149;The HATS-GUI shall provide for repeating a search. Repeating a search shall find the next matching sub-tree starting from the current keyboard cursor location. Search terminates when either a matching sub-tree is found or the search arrives at the original starting location.;2001 - hats.pdf;Funcional
150;INT-150;The HATS-GUI shall provide for repeating a search in the reverse direction. Searching in the reverse direction continues right-to-left, bottom-to-top. Search terminates when either a matching sub-tree is found or the search arrives at the original starting location.;2001 - hats.pdf;Funcional
151;INT-151;When searching for text patterns, search begins at the current keyboard cursor location and continues left-to-right, top-to-bottom until the end of the text is encountered. When the end of the text is encountered, search will continue from the start of the text until arriving back at the starting location.;2001 - hats.pdf;Funcional
152;INT-152;The formatting of the displayed pretty-printed text shall be faithful to the formatting represented in the pretty-printed text file. No additional white space shall be inserted, and a fixed width font shall be used to display the text.;2001 - hats.pdf;Funcional
153;INT-153;The user shall be able to select pretty-printed text files to display;2001 - hats.pdf;Funcional
154;INT-154;Selected pretty-printed text shall be displayed in a separate window.;2001 - hats.pdf;Funcional
155;INT-155;Windows for pretty-printed text shall allow for scrolling left, right, up, and down if the text is too large to display in the window.;2001 - hats.pdf;Funcional
156;INT-156;When searching for text patterns, search begins at the location of the keyboard cursor and continues left-to-right, top-to-bottom until the end of the text is encountered. When the end of the text is encountered, search will continue from the start of the text until arriving back at the starting location;2001 - hats.pdf;Funcional
157;INT-157;The HATS-GUI shall not halt as a result of any error messages received from HATS-SML;2001 - hats.pdf;Funcional
158;INT-158;The HATS-GUI shall collect error messages from HATS-SML in a single display area. This display area shall be initially clear, and shall contain all error messages generated by HATS-SML since the HATS-GUI was started. The display area shall be a window accessible via a window tab. The display shall list all error received from HATS-SML in the order received.;2001 - hats.pdf;Funcional
159;INT-159;Errors shall not be displayed until requested by the user.;2001 - hats.pdf;Funcional
160;INT-160;The user shall be able to clear the error window without restarting the HATS-GUI.;2001 - hats.pdf;Funcional
161;INT-161;When both an SDT and a pretty-printed text display corresponding to a single transformed target file are open, navigation in the SDT window shall result in navigation in the pretty-printed text window. Searching, selecting, and cursor location motion should be mirrored in the two windows. Specifically, when a node is selected in the displayed graph, the corresponding text in the pretty-print window is highlighted. For this purpose, the corresponding text is all the text that correspond to terminal nodes of the SDT that are descendants of the SDT nodes that corresond to the selected display nodes;2001 - hats.pdf;Funcional
162;INT-162;When both an SDT and a pretty-printed text display corresponding to a single transformed target file are open, navigation in the pretty-printed text window shall result in navigation in the SDT display. Selecting, and cursor location motion should be mirrored in the two windows. Specifically, when text is selected in the text window, the displayed nodes corresponding nodes in the SDT are highlighted.;2001 - hats.pdf;Funcional
163;INT-163;The HATS-GUI shall display and SDT with 10,000 nodes in five seconds or less.;2001 - hats.pdf;No funcional
164;INT-164;The HATS-GUI shall display 1,000,000 node SDTs in the same amount of time, plus or minus two seconds, as it takes to display a 10,000 node SDT.;2001 - hats.pdf;No funcional
165;INT-165;The HATS-GUI shall allow a user to request transformations while HATS-SML is performing transformations or parsing.;2001 - hats.pdf;No funcional
166;INT-166;The HATS-GUI shall allow a user to navigate through the display of an SDT with 10,000 nodes so that scrolling a screen width with any portion of the SDT displayed takes less than 3 seconds.;2001 - hats.pdf;No funcional
167;INT-167;The complexity of the text search algorithm shall not exceed O(n2 ) for n nodes.;2001 - hats.pdf;No funcional
168;INT-168;The complexity of the tree search algorithm shall not exceed O(n2 ) for n nodes.;2001 - hats.pdf;No funcional
169;INT-169;The complexity of the scrolling algorithms for text and displayed graphs shall not exceed O(n2 ) for n displayed nodes.;2001 - hats.pdf;No funcional
170;INT-170;The user shall not be required to log in or authenticate his/her identity when using the system;2001 - hats.pdf;No funcional
171;INT-171;The GUI shall run on Windows 2000, Sun Solaris 8, and Linux operating systems without modification of the Java code.;2001 - hats.pdf;No funcional
172;INT-172;The system shall be implemented in the Java 1.3 programming language;2001 - hats.pdf;No funcional
173;INT-173;One algorithm for displaying an SDT has been implemented and found to be unacceptable: • Draw SDT into large virtual window with a smaller viewing area • Zoom in on portions of the tree;2001 - hats.pdf;No funcional
1;JUE-1;There can be only one user per machine;2003 - qheadache.pdf;No funcional
2;JUE-2;The product must run with all operating systems that Qt supports;2003 - qheadache.pdf;No funcional
3;JUE-3;The product requires a graphical display of at least 800*600 resolution.;2003 - qheadache.pdf;No funcional
4;JUE-4;The software must be portable to the Windows OS;2003 - qheadache.pdf;No funcional
5;JUE-5;The user must undo and redo its last thousand actions;2003 - qheadache.pdf;Funcional
6;JUE-6;The product must count and display the time that the user uses to play;2003 - qheadache.pdf;Funcional
7;JUE-7;The product must count and display the number of the user's action;2003 - qheadache.pdf;Funcional
8;JUE-8;The product must record the score (time and number of counts) of a play associated with the name of a user.;2003 - qheadache.pdf;Funcional
9;JUE-9;The product must display a window with all the player's cores.;2003 - qheadache.pdf;Funcional
10;JUE-10;The main window shall provide the following parts : a board and a menu bar;2003 - qheadache.pdf;Funcional
11;JUE-11;The board is a rectangular zone where the user could move some blocks. Let x be the mesure unit. The height of the board game is 5x, its width is 4x : x can't be less than 50 pixels and greater than 100 pixels. The blocks are separated by a marge of 0.1x.;2003 - qheadache.pdf;Funcional
12;JUE-12;There are four square blocks with a side of x.;2003 - qheadache.pdf;Funcional
13;JUE-13;There are four rectangular blocks with the following dimensions : a height of 2x and a width of x.;2003 - qheadache.pdf;Funcional
